genes
HLA-C
CD1D
CD1E
SLC22A13
HLA-F
MR1
P2RX7
CD1A
ULBP3
XCL1
HFE
ULBP1
ULBP2
HLA-A
HLA-DRB1
RAET1E
B2M
NECTIN2
TAP2
PTPRC
IL12B
IL12A
RAET1L
IL23A
HLA-G
CD1C
CD1B
MICA
MICB
HLA-E
HLA-DRA
HLA-H
HLA-B
PVR
STX7
FADD
RAET1G
CYRIB
IL23R
IL12RB1
