Table S3: Gene set used for Figure 1C, effector gene GSEA. ;;;;;
;;;;;
NAME;PROBE;RANK IN GENE LIST;RANK METRIC SCORE;RUNNING ES;CORE ENRICHMENT
row_102;MOAP1;7473;0,00153191143181175;0,25573364;No
row_103;PSMA3;7497;0,00132125033996999;0,25447804;No
row_104;CANX;7645;3,03E-04;0,24545453;No
row_105;NME1;7647;3,01E-04;0,24542981;No
row_106;WBP5;7743;-3,78E-04;0,23962072;No
row_107;BUB3;7754;-4,63E-04;0,23906118;No
row_108;WDHD1;7856;-0,00121389841660857;0,23298472;No
row_109;HIST1H3C;8179;-0,00362616870552301;0,21358235;No
row_110;ID2;8457;-0,00563997775316238;0,19720067;No
row_111;CRELD2;8499;-0,00595037452876567;0,19540341;No
row_112;KPNA3;8509;-0,00603138376027345;0,19558847;No
row_113;RILPL2;8557;-0,00637655612081289;0,19347367;No
row_114;BAG1;8637;-0,00690100993961095;0,1894508;No
row_115;RAD51AP1;8695;-0,00735669350251555;0,18683985;No
row_116;SSR1;8905;-0,00896532647311687;0,17505737;No
row_117;SLBP;8942;-0,00920694135129451;0,17396773;No
row_118;EEA1;8990;-0,00963597651571035;0,17225271;No
row_119;SERINC3;9024;-0,00991190783679485;0,17143446;No
row_120;MCM6;9125;-0,0107038896530866;0,16658367;No
row_121;OSBPL3;9179;-0,0111147733405232;0,16468023;No
row_122;GNPAT;9301;-0,0122990785166621;0,15873072;No
row_123;POLR3K;9471;-0,0136696705594658;0,14999075;No
row_124;ECH1;9824;-0,0168285649269819;0,13035865;No
row_125;MANF;9850;-0,0170240979641675;0,13090587;No
row_126;HNRNPAB;10143;-0,0195110198110342;0,11530101;No
row_127;GOLT1B;10162;-0,019659299403429;0,11660291;No
row_128;SDF2L1;10265;-0,020447863265872;0,11282402;No
row_129;DNAJB11;10335;-0,0211101602762937;0,1111604;No
row_130;BCL2A1;10344;-0,0212248899042606;0,1132707;No
row_131;ACSL5;10431;-0,0220944210886955;0,11067996;No
row_132;PRF1;10653;-0,0244337357580661;0,10005516;No
row_133;NUDT4;11077;-0,0287092998623847;0,0775041;No
row_134;ERMN;11218;-0,0302966218441724;0,07259103;No
row_135;ALDH7A1;11276;-0,0309753306210041;0,07287708;No
row_136;ABHD5;11305;-0,0313262939453125;0,07499366;No
row_137;CENPN;11385;-0,0321357659995555;0,074066035;No
row_138;STIP1;11477;-0,0330679900944232;0,07251311;No
row_139;STK39;11609;-0,0346771590411663;0,06869208;No
row_140;NDUFC2;11616;-0,0347657240927219;0,07258655;No
row_141;SERPINB9;11658;-0,0351669564843177;0,07437293;No
row_142;MELK;11799;-0,0371301248669624;0,070298046;No
row_143;PGLYRP1;12421;-0,0449875816702842;0,0375395;No
row_144;GNPTAB;12520;-0,0466529428958892;0,037221417;No
row_145;MYADM;12631;-0,0482073687016963;0,03635435;No
row_146;GIPC2;12689;-0,0491361804306507;0,03886798;No
row_147;FH;12702;-0,0493082776665687;0,044176385;No
row_148;MYL4;12787;-0,0505232587456703;0,045195945;No
row_149;ALCAM;12825;-0,0511336363852024;0,049187317;No
row_150;CLSPN;12920;-0,0527467057108879;0,049863234;No
row_151;PTPN12;13150;-0,056114125996828;0,042631183;No
row_152;IL2RA;13557;-0,0631486400961875;0,025352206;No
row_153;GPD2;13688;-0,06577780097723;0,025407553;No
row_154;GEN1;14197;-0,0780271589756012;0,0036665623;No
row_155;TMBIM4;14506;-0,0864711478352546;-0,00471129;No
row_156;NRP1;14567;-0,0881621912121772;0,0024042747;No
row_157;PPAT;14606;-0,0893225520849227;0,011018182;No
row_158;CHTF18;14684;-0,0912437587976455;0,017463895;No
row_159;CKAP2L;14797;-0,0950334146618843;0,022217141;No
row_160;ANXA1;15058;-0,104947358369827;0,019064121;No
row_161;GINS1;15213;-0,110784135758876;0,02316056;No
row_162;IL12RB2;15269;-0,113381095230579;0,033677608;No
row_163;ITIH5;15485;-0,124636098742485;0,035713237;No
row_164;IFITM1;15965;-0,162103191018104;0,026072312;No
