genes
TOX
SNX9
ITGAE
HAVCR2
IRF4
UBE2F
LAG3
STMN1
NDFIP2
ENTPD1
PRDM1
CD63
PDCD1
CD2BP2
FKBP1A
CTLA4
RAB27A
TPI1
CD38
DUSP4
CDCA8
TIGIT
PHLDA1
NCAPG2
VCAM1
ITM2A
CDKN3
CD27
IFI35
SNAP47
ISG15
IGFLR1
STAT3
RAD51
WARS
CCNB1
SYNGR2
BUB1
GBP2
SIRPG
LYST
SEMA4A
BST2
CXCR6
PARK7
ACP5
CCL4L2
HLA-DRA
RGS2
FCRL3
NAB1
OSBPL3
ID3
ICOS
CCR5
FAM3C
GOLIM4
PTPN11
ACP5
CKS2
FUT8
GALM
HLA-DMA
